exp_dt,K,C,T,S0,r,d,bid,ask,delta_raw,iv
2027-12-17,5.0,165.8,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,1.0,0.0
2027-12-17,10.0,161.35,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,1.0,0.0
2027-12-17,15.0,156.575,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,1.0,0.0
2027-12-17,20.0,152.9,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,1.0,0.0
2027-12-17,25.0,148.15,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,1.0,0.0
2027-12-17,30.0,143.5,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,1.0,0.0
2027-12-17,35.0,138.39999999999998,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9996,0.0
2027-12-17,40.0,134.575,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9965,0.0
2027-12-17,45.0,130.625,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9928,0.0
2027-12-17,50.0,126.575,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9886,0.4365
2027-12-17,55.0,122.1,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9838,0.4313
2027-12-17,60.0,118.35,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9784,0.4659
2027-12-17,65.0,114.07499999999999,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9722,0.4552
2027-12-17,70.0,109.625,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9654,0.4341
2027-12-17,75.0,106.325,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9577,0.4632
2027-12-17,80.0,102.42500000000001,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9492,0.4581
2027-12-17,85.0,98.44999999999999,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9399,0.4441
2027-12-17,90.0,94.44999999999999,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9297,0.4395
2027-12-17,95.0,89.975,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.9188,0.4348
2027-12-17,100.0,86.45,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.907,0.4301
2027-12-17,105.0,85.80000000000001,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.8944,0.426
2027-12-17,110.0,80.875,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.8811,0.4226
2027-12-17,115.0,76.82499999999999,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.8672,0.42
2027-12-17,120.0,73.275,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.8526,0.4163
2027-12-17,125.0,71.125,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.8374,0.4128
2027-12-17,130.0,67.4,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.8217,0.4114
2027-12-17,135.0,65.35,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.8055,0.4106
2027-12-17,140.0,61.65,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.7889,0.4063
2027-12-17,145.0,58.95,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.772,0.4038
2027-12-17,150.0,56.225,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.7547,0.4018
2027-12-17,155.0,53.725,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.7372,0.3996
2027-12-17,160.0,51.375,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.7194,0.3978
2027-12-17,165.0,49.05,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.7015,0.396
2027-12-17,170.0,46.75,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.6836,0.3951
2027-12-17,175.0,44.575,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.6656,0.3925
2027-12-17,180.0,42.5,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.6476,0.3915
2027-12-17,185.0,40.525,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.6296,0.3901
2027-12-17,190.0,38.625,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.6118,0.3887
2027-12-17,195.0,36.9,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.5942,0.3881
2027-12-17,200.0,35.125,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.5767,0.3869
2027-12-17,210.0,31.975,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.5426,0.3853
2027-12-17,220.0,28.875,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.5096,0.3836
2027-12-17,230.0,26.225,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.478,0.3824
2027-12-17,240.0,23.799999999999997,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.4478,0.3811
2027-12-17,250.0,21.7,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.4192,0.3803
2027-12-17,260.0,19.775,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.3922,0.3799
2027-12-17,270.0,18.200000000000003,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.3668,0.3794
2027-12-17,280.0,16.65,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.3428,0.3792
2027-12-17,290.0,15.175,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.3205,0.3791
2027-12-17,300.0,13.9,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.2996,0.3789
2027-12-17,310.0,12.725,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.28,0.3791
2027-12-17,320.0,11.7,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.2619,0.3793
2027-12-17,330.0,10.75,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.2449,0.3795
2027-12-17,340.0,9.875,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.2292,0.38
2027-12-17,350.0,9.1,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.2146,0.3801
2027-12-17,360.0,8.375,2.2684931506849315,169.84,0.045,0.0,8.3,8.45,0.201,0.3802
