
NVIDIA Corporation,Last: 174.11,Change:  2.45
Date: 9 September 2025 at 20:13 GMT-4,Bid: 174.1,Ask: 174.14,Size: 1*1,"Volume: 154,246,593"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 17 2027,NVDA271217C00005000,166.7,0.875,162,169.6,14,0,1,0,1566,5.00,NVDA271217P00005000,0.02,-0.01,0.02,0.04,163,0.8849,-0.0003,0,4470
Fri Dec 17 2027,NVDA271217C00010000,158.57,0,158,164.7,0,0,1,0,442,10.00,NVDA271217P00010000,0.07,0.01,0.05,0.08,400,0.7604,-0.0009,0,830
Fri Dec 17 2027,NVDA271217C00015000,156,-0.75,153,160.15,2,0,1,0,417,15.00,NVDA271217P00015000,0.14,0,0.1,0.13,0,0.6926,-0.0017,0,1490
Fri Dec 17 2027,NVDA271217C00020000,149.45,0,150.55,155.25,0,0,1,0,708,20.00,NVDA271217P00020000,0.19,-0.005,0.15,0.19,10,0.6405,-0.0028,0,962
Fri Dec 17 2027,NVDA271217C00025000,147.83,0.08,144,152.3,105,0,1,0.0001,818,25.00,NVDA271217P00025000,0.29,-0.025,0.27,0.35,40,0.6237,-0.0044,0.0001,853
Fri Dec 17 2027,NVDA271217C00030000,143.41,0.135,140,147,100,0,1,0.0001,1069,30.00,NVDA271217P00030000,0.48,0,0.41,0.46,0,0.5956,-0.0065,0.0001,536
Fri Dec 17 2027,NVDA271217C00035000,137,-1.6,135.1,141.7,1,0,0.9996,0.0002,1401,35.00,NVDA271217P00035000,0.64,0,0.58,0.65,0,0.5754,-0.0092,0.0002,2212
Fri Dec 17 2027,NVDA271217C00040000,131.96,0,131,138.15,0,0,0.9965,0.0002,639,40.00,NVDA271217P00040000,0.81,-0.035,0.78,0.85,20,0.5572,-0.0123,0.0002,1829
Fri Dec 17 2027,NVDA271217C00045000,126.8,0,129.05,132.2,0,0,0.9928,0.0003,492,45.00,NVDA271217P00045000,1.15,0,1.02,1.09,0,0.5409,-0.0161,0.0003,3585
Fri Dec 17 2027,NVDA271217C00050000,126.78,1.105,124.6,128.55,9,0.4365,0.9886,0.0004,1119,50.00,NVDA271217P00050000,1.34,-0.055,1.33,1.37,2,0.5267,-0.0204,0.0004,9560
Fri Dec 17 2027,NVDA271217C00055000,120.61,-0.34,119.55,124.65,1,0.4313,0.9838,0.0004,1433,55.00,NVDA271217P00055000,1.68,-0.05,1.62,1.69,2,0.511,-0.0254,0.0004,5327
Fri Dec 17 2027,NVDA271217C00060000,116.27,-1.08,116.8,119.9,2,0.4659,0.9784,0.0005,1371,60.00,NVDA271217P00060000,2.06,-0.07,1.98,2.08,5,0.4997,-0.031,0.0006,17846
Fri Dec 17 2027,NVDA271217C00065000,111.94,-0.76,112.35,115.8,10,0.4552,0.9722,0.0006,731,65.00,NVDA271217P00065000,2.53,-0.05,2.12,2.52,4,0.4894,-0.0373,0.0006,836
Fri Dec 17 2027,NVDA271217C00070000,108.5,-0.55,106.55,112.7,6,0.4341,0.9654,0.0007,5594,70.00,NVDA271217P00070000,3,-0.075,2.8,3.05,278,0.4802,-0.0445,0.0008,11092
Fri Dec 17 2027,NVDA271217C00075000,103.95,-1.225,104.2,108.45,1,0.4632,0.9577,0.0009,2445,75.00,NVDA271217P00075000,3.63,-0.07,3.45,3.6,4,0.4704,-0.0525,0.0009,17820
Fri Dec 17 2027,NVDA271217C00080000,100.2,-1.075,100.2,104.65,1,0.4581,0.9492,0.001,2496,80.00,NVDA271217P00080000,4.25,-0.1,4.1,4.25,4,0.463,-0.0613,0.001,14890
Fri Dec 17 2027,NVDA271217C00085000,97.75,0,96.8,100.1,0,0.4441,0.9399,0.0011,1271,85.00,NVDA271217P00085000,4.95,-0.15,4.85,4.95,10,0.456,-0.071,0.0012,11688
Fri Dec 17 2027,NVDA271217C00090000,92.08,-1.295,92.55,96.35,8,0.4395,0.9297,0.0013,3737,90.00,NVDA271217P00090000,5.8,-0.15,5.5,5.8,313,0.4499,-0.0817,0.0013,28924
