
NVIDIA Corporation,Last: 174.11,Change:  2.45
Date: 9 September 2025 at 20:12 GMT-4,Bid: 174.1,Ask: 174.14,Size: 1*1,"Volume: 154,246,593"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 15 2027,NVDA270115C00005000,162.26,0,164.65,172,0,0,1,0,1861,5.00,NVDA270115P00005000,0.01,0,0,0.02,4,1.0251,-0.0002,0,4086
Fri Jan 15 2027,NVDA270115C00010000,172.68,0,160.15,163.55,0,0,1,0,984,10.00,NVDA270115P00010000,0.02,0,0,0.03,0,0.8428,-0.0004,0,3956
Fri Jan 15 2027,NVDA270115C00015000,155.68,0,155.45,158.95,0,0,1,0,311,15.00,NVDA270115P00015000,0.03,0,0.03,0.06,0,0.7982,-0.0007,0,35697
Fri Jan 15 2027,NVDA270115C00020000,155.68,0,150.75,154.25,0,0,1,0,743,20.00,NVDA270115P00020000,0.09,0,0.04,0.09,0,0.7306,-0.0013,0,5676
Fri Jan 15 2027,NVDA270115C00025000,147.4,0,146.05,149.55,0,0,1,0,262,25.00,NVDA270115P00025000,0.11,-0.005,0.08,0.12,1670,0.6874,-0.0022,0,7857
Fri Jan 15 2027,NVDA270115C00030000,142.6,0.65,141.35,144.85,1,0,1,0.0001,820,30.00,NVDA270115P00030000,0.19,0.005,0.16,0.22,95,0.6748,-0.0035,0.0001,2390
Fri Jan 15 2027,NVDA270115C00035000,138.6,0,136.7,140.2,0,0,1,0.0001,1865,35.00,NVDA270115P00035000,0.29,0,0.23,0.3,0,0.6451,-0.0052,0.0001,2517
Fri Jan 15 2027,NVDA270115C00040000,131.14,-1.41,130.05,137.2,13,0,0.9991,0.0002,596,40.00,NVDA270115P00040000,0.38,0,0.35,0.39,0,0.6227,-0.0072,0.0002,2776
Fri Jan 15 2027,NVDA270115C00045000,125.15,0,124,131,0,0,0.9968,0.0002,1433,45.00,NVDA270115P00045000,0.5,0,0.44,0.5,0,0.5968,-0.0096,0.0002,4469
Fri Jan 15 2027,NVDA270115C00050000,120.3,0,120,125.65,0,0,0.994,0.0003,1882,50.00,NVDA270115P00050000,0.6,-0.03,0.57,0.62,2,0.5747,-0.0123,0.0003,4143
Fri Jan 15 2027,NVDA270115C00055000,120,0,118.05,121.15,0,0.3647,0.9908,0.0004,2292,55.00,NVDA270115P00055000,0.76,-0.03,0.72,0.78,2,0.5557,-0.0156,0.0004,5192
Fri Jan 15 2027,NVDA270115C00060000,109.1,0,113.85,116.8,0,0.5302,0.9871,0.0004,1869,60.00,NVDA270115P00060000,0.94,-0.045,0.9,0.95,140,0.5375,-0.0194,0.0004,13602
Fri Jan 15 2027,NVDA270115C00065000,109.8,0,109.8,112.7,0,0.5259,0.9826,0.0005,561,65.00,NVDA270115P00065000,1.17,-0.03,1.1,1.49,10,0.5214,-0.0239,0.0006,6310
Fri Jan 15 2027,NVDA270115C00070000,103.55,-1.75,104.35,107.3,20,0.42,0.9774,0.0006,5240,70.00,NVDA270115P00070000,1.41,-0.055,1.36,1.42,29,0.5072,-0.0293,0.0007,8412
Fri Jan 15 2027,NVDA270115C00075000,100,-0.825,99.9,102.85,11,0.4253,0.9712,0.0008,2769,75.00,NVDA270115P00075000,1.76,-0.025,1.67,1.72,70,0.4947,-0.0356,0.0008,9436
Fri Jan 15 2027,NVDA270115C00080000,96.9,0.5,95.65,98.4,1,0.4784,0.9641,0.0009,16612,80.00,NVDA270115P00080000,2.09,-0.07,2.05,2.1,132,0.484,-0.043,0.001,26676
Fri Jan 15 2027,NVDA270115C00085000,91.09,-1.21,92.15,94.1,22,0.4526,0.9558,0.0011,1353,85.00,NVDA270115P00085000,2.52,-0.085,2.44,2.52,16,0.4729,-0.0515,0.0011,17639
Fri Jan 15 2027,NVDA270115C00090000,86.96,-0.79,88.25,89.7,7,0.4291,0.9464,0.0013,7742,90.00,NVDA270115P00090000,3.08,-0.07,2.95,3.05,4,0.4648,-0.0612,0.0013,30709
Fri Jan 15 2027,NVDA270115C00095000,82.45,-1.425,83.1,85.4,10,0.4536,0.9357,0.0015,2811,95.00,NVDA270115P00095000,3.65,-0.1,3.5,3.65,9,0.4566,-0.0722,0.0015,16957
Fri Jan 15 2027,NVDA270115C00100000,80.8,0.975,80.5,81.3,13,0.4465,0.9238,0.0017,18067,100.00,NVDA270115P00100000,4.3,-0.15,4.25,4.35,43,0.4502,-0.0845,0.0018,40670
Fri Jan 15 2027,NVDA270115C00105000,75.95,0.15,76.5,77.3,5,0.4402,0.9106,0.0019,8563,105.00,NVDA270115P00105000,5.14,-0.135,5,5.1,3,0.444,-0.098,0.002,15588
Fri Jan 15 2027,NVDA270115C00110000,71,-0.925,72.65,73.4,13,0.4351,0.8962,0.0022,3750,110.00,NVDA270115P00110000,6.25,0.05,5.85,6,91,0.4378,-0.1132,0.0022,23136
Fri Jan 15 2027,NVDA270115C00115000,67.48,-0.695,68.95,69.45,10,0.4291,0.8805,0.0024,4486,115.00,NVDA270115P00115000,7.35,0.1,6.85,7,4,0.433,-0.1294,0.0025,6330
