
NVIDIA Corporation,Last: 174.11,Change:  2.45
Date: 9 September 2025 at 20:13 GMT-4,Bid: 174.1,Ask: 174.14,Size: 1*1,"Volume: 154,246,593"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Jun 17 2027,NVDA270617C00005000,166.75,1.2,162.2,172,1531,2.0422,1,0,1862,5.00,NVDA270617P00005000,0.01,0,0.01,0.1,0,0.979,-0.0003,0,1232
Thu Jun 17 2027,NVDA270617C00010000,157.05,0,159.6,164.7,0,0,1,0,181,10.00,NVDA270617P00010000,0.06,0,0,0.11,0,0.7896,-0.0007,0,193
Thu Jun 17 2027,NVDA270617C00015000,156.38,0,154.95,160.05,0,0,1,0,143,15.00,NVDA270617P00015000,0.11,0,0.03,0.15,0,0.7297,-0.0013,0,115
Thu Jun 17 2027,NVDA270617C00020000,148.6,0,150.35,155.45,0,0,1,0,163,20.00,NVDA270617P00020000,0.14,0.01,0.08,0.25,1,0.6894,-0.0022,0,254
Thu Jun 17 2027,NVDA270617C00025000,147.96,0,145.75,150.85,0,0,1,0.0001,62,25.00,NVDA270617P00025000,0.32,0,0.16,0.3,0,0.6594,-0.0034,0.0001,418
Thu Jun 17 2027,NVDA270617C00030000,151.5,0,141.15,146.25,0,0,1,0.0001,162,30.00,NVDA270617P00030000,0.4,0,0,0.39,0,0.6309,-0.005,0.0001,72
Thu Jun 17 2027,NVDA270617C00035000,139.96,0,137.6,141.25,0,0.5308,1,0.0001,781,35.00,NVDA270617P00035000,0.46,0,0.38,0.52,0,0.607,-0.0071,0.0001,317
Thu Jun 17 2027,NVDA270617C00040000,133.27,0,130.25,136.5,0,0,0.9984,0.0002,121,40.00,NVDA270617P00040000,0.67,0,0.36,0.62,0,0.5849,-0.0096,0.0002,226
Thu Jun 17 2027,NVDA270617C00045000,142.3,0,125,132.65,0,0.5726,0.9955,0.0002,69,45.00,NVDA270617P00045000,0.85,0,0.69,0.79,0,0.565,-0.0125,0.0002,193
Thu Jun 17 2027,NVDA270617C00050000,123,0,122.85,127.85,0,0.5438,0.992,0.0003,87,50.00,NVDA270617P00050000,0.95,0,0.88,1.04,0,0.5471,-0.0161,0.0003,218
Thu Jun 17 2027,NVDA270617C00055000,131.8,0,116.9,122.7,0,0.4929,0.9879,0.0004,72,55.00,NVDA270617P00055000,1.19,0,0.81,1.37,0,0.5315,-0.0203,0.0004,316
Thu Jun 17 2027,NVDA270617C00060000,116.76,1.46,112.1,117.85,3,0,0.9832,0.0005,198,60.00,NVDA270617P00060000,1.45,-0.05,1.38,1.78,3,0.5164,-0.0251,0.0005,1767
Thu Jun 17 2027,NVDA270617C00065000,122.35,0,110.4,114.9,0,0.4878,0.9777,0.0006,264,65.00,NVDA270617P00065000,1.83,0,1.7,2.09,0,0.5034,-0.0307,0.0006,574
