
NVIDIA Corporation,Last: 174.11,Change:  2.45
Date: 9 September 2025 at 17:56 GMT-4,Bid: 174.1,Ask: 174.14,Size: 1*1,"Volume: 154,246,593"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 18 2026,NVDA260918C00005000,162,0,164.8,167.85,0,0,1,0,891,5.00,NVDA260918P00005000,0.01,0,0,0.25,0,1.2157,-0.0001,0,1346
Fri Sep 18 2026,NVDA260918C00010000,125.82,0,160,163.05,0,0,1,0,20,10.00,NVDA260918P00010000,0.01,0,0,0.34,0,0.9637,-0.0002,0,1057
Fri Sep 18 2026,NVDA260918C00015000,150.15,0,155.2,158.3,0,0,1,0,51,15.00,NVDA260918P00015000,0.03,0,0,0.55,0,0.8436,-0.0005,0,355
Fri Sep 18 2026,NVDA260918C00020000,161,0,150.45,153.5,0,0,1,0,28,20.00,NVDA260918P00020000,0.05,0,0.04,0.37,0,0.8115,-0.0009,0,79
Fri Sep 18 2026,NVDA260918C00025000,150,0,145.7,148.75,0,0,1,0,26,25.00,NVDA260918P00025000,0.11,0,0.06,0.4,0,0.7594,-0.0015,0,356
Fri Sep 18 2026,NVDA260918C00030000,155.5,0,140.95,144,0,0,1,0.0001,69,30.00,NVDA260918P00030000,0.1,-0.015,0.07,0.25,70,0.7071,-0.0024,0.0001,153
Fri Sep 18 2026,NVDA260918C00035000,136.4,0,136.2,139.25,0,0,1,0.0001,12,35.00,NVDA260918P00035000,0.22,0,0.13,0.48,0,0.6853,-0.0036,0.0001,151
Fri Sep 18 2026,NVDA260918C00040000,132.75,0,128,134.35,0,0.6152,1,0.0001,273,40.00,NVDA260918P00040000,0.22,-0.005,0.19,0.24,2,0.6571,-0.005,0.0001,501
Fri Sep 18 2026,NVDA260918C00045000,129.57,0,126.8,129.4,0,0,0.9983,0.0002,38,45.00,NVDA260918P00045000,0.34,0,0.26,0.31,0,0.6306,-0.0067,0.0002,829
Fri Sep 18 2026,NVDA260918C00050000,119.89,-2.31,122.25,125.55,1,0.5972,0.9963,0.0002,151,50.00,NVDA260918P00050000,0.41,0,0.33,0.7,0,0.603,-0.0088,0.0002,888
Fri Sep 18 2026,NVDA260918C00055000,115.11,-2.09,114,119.95,1,0,0.9938,0.0003,58,55.00,NVDA260918P00055000,0.6,0,0.43,0.48,0,0.5816,-0.0112,0.0003,752
Fri Sep 18 2026,NVDA260918C00060000,108.56,0,113,115,0,0,0.991,0.0004,94,60.00,NVDA260918P00060000,0.63,0.01,0.54,0.7,4,0.5602,-0.0142,0.0004,741
Fri Sep 18 2026,NVDA260918C00065000,105.21,0,108.25,110.65,0,0.4697,0.9875,0.0005,183,65.00,NVDA260918P00065000,0.74,-0.02,0.68,0.73,66,0.542,-0.0177,0.0005,666
Fri Sep 18 2026,NVDA260918C00070000,103.1,0,103.65,106.45,0,0.5037,0.9833,0.0006,286,70.00,NVDA260918P00070000,0.89,-0.05,0.85,0.9,40,0.5255,-0.0219,0.0006,1870
